Sample	Confident Inferred Pop: 1SD	Confident Inferred Pop: 2SD	Confident Inferred Pop: 3SD	Less Restricted Inferred Pop	Distance to cluster Africa	Distance to cluster East Asia	Distance to cluster Europe	Distance to cluster South Asia
GTEX-WHWD-0002-SM-5SOEC	 Europe	 Europe	 Europe	 Europe	0.07916	0.08328	0.00211	0.03185
GTEX-WK11-0002-SM-5SOET	-	 Europe	 Europe	 Europe	0.07912	0.08378	0.00256	0.03233
GTEX-WL46-0002-SM-5SOE8	 Europe	 Europe	 Europe	 Europe	0.07903	0.08318	0.00199	0.03174
GTEX-WOFM-0003-SM-5JK3H	-	 Europe	 Europe	 Europe	0.07970	0.08408	0.00294	0.03266
GTEX-WVLH-0001-SM-5SOE6	 Europe	 Europe	 Europe	 Europe	0.07908	0.08208	0.00130	0.03069
GTEX-WWYW-0004-SM-5URDN	-	 Europe	 Europe	 Europe	0.07948	0.08378	0.00262	0.03236
GTEX-WXYG-0001-SM-5SOE5	-	-	 Africa	 Africa	0.00696	0.08506	0.07139	0.06410
GTEX-WY7C-0002-SM-5URBW	-	 Europe	 Europe	 Europe	0.07967	0.08478	0.00357	0.03334
GTEX-WYJK-0001-SM-5URBR	 Europe	 Europe	 Europe	 Europe	0.07903	0.08278	0.00166	0.03136
GTEX-WZTO-0002-SM-5URDU	 Europe	 Europe	 Europe	 Europe	0.07748	0.08129	0.00043	0.02981
GTEX-X261-0002-SM-5URDP	 Europe	 Europe	 Europe	 Europe	0.07925	0.08328	0.00214	0.03186
GTEX-X3Y1-0002-SM-5URCV	-	-	-	Africa	0.01089	0.08218	0.06704	0.05972
GTEX-X4EO-0003-SM-5URCE	 Europe	 Europe	 Europe	 Europe	0.07912	0.08318	0.00202	0.03175
GTEX-X4XX-0004-SM-5URCR	 Europe	 Europe	 Europe	 Europe	0.07703	0.08130	0.00093	0.02980
GTEX-X4XY-0002-SM-5URBG	 Europe	 Europe	 Europe	 Europe	0.07930	0.08358	0.00241	0.03215
GTEX-X585-0003-SM-5URCW	-	 Africa	 Africa	 Africa	0.00311	0.08896	0.07883	0.07099
GTEX-X62O-0001-SM-5URD5	 Europe	 Europe	 Europe	 Europe	0.07957	0.08338	0.00233	0.03198
GTEX-X8HC-0003-SM-5URDI	 Europe	 Europe	 Europe	 Europe	0.07921	0.08298	0.00188	0.03156
GTEX-XBEC-0002-SM-5SOEV	 Europe	 Europe	 Europe	 Europe	0.07912	0.08318	0.00202	0.03175
GTEX-XBED-0004-SM-5URD9	 Europe	 Europe	 Europe	 Europe	0.07930	0.08338	0.00223	0.03196
GTEX-XGQ4-0001-SM-5SOEG	 Europe	 Europe	 Europe	 Europe	0.07908	0.08328	0.00209	0.03184
GTEX-XMK1-0003-SM-5URB9	 Europe	 Europe	 Europe	 Europe	0.07872	0.08348	0.00226	0.03202
GTEX-XOT4-0001-SM-5URCM	 Europe	 Europe	 Europe	 Europe	0.07577	0.08135	0.00232	0.02981
GTEX-XOTO-0002-SM-5URC7	 Europe	 Europe	 Europe	 Europe	0.07903	0.08318	0.00199	0.03174
GTEX-XPT6-0004-SM-5URDL	-	 Europe	 Europe	 Europe	0.07828	0.08370	0.00256	0.03220
GTEX-XQ3S-0002-SM-5JK42	 Europe	 Europe	 Europe	 Europe	0.07943	0.08348	0.00236	0.03206
GTEX-XUJ4-0001-SM-5JK4T	 Europe	 Europe	 Europe	 Europe	0.07564	0.08064	0.00222	0.02910
GTEX-XUW1-0002-SM-5JK4P	-	 Europe	 Europe	 Europe	0.07984	0.08378	0.00274	0.03238
GTEX-XV7Q-0004-SM-5JK3G	-	 Europe	 Europe	 Europe	0.07984	0.08418	0.00306	0.03277
GTEX-XXEK-0001-SM-5JK35	-	 Europe	 Europe	 Europe	0.07966	0.08438	0.00319	0.03295
GTEX-XYKS-0003-SM-5JK4D	-	 Africa	 Africa	 Africa	0.00252	0.08486	0.07533	0.06672
